idx,NodeID,StoreName,floor,new_category,idx_x,PlazaUnitID,plaza_unitid,shoptime,idx_y,zoom
36,1S-35,PANDORA,一楼,配饰珠宝,96,1035-1036,"10,351,036",5.67,36,北区
37,1S-36,UGG,一楼,鞋品箱包,93,1037,1037,3.36,37,北区
38,1S-37,Miss Sixty,一楼,潮流时尚,145,1038,1038,14.3,38,北区
39,1S-38,SWAROVSKI,一楼,配饰珠宝,45,1039,1039,4.15,39,北区
40,1S-39,CRD,一楼,配饰珠宝,143,1050,1050,27.65,40,南区
41,1S-40,CK Underwear,一楼,家居家用,151,1051A,1051A,2.06,41,北区
42,1S-41,CK JEANS,一楼,潮流时尚,13,1051B,1051B,8.27,42,南区
43,1S-42,Moussy,一楼,潮流时尚,59,1052A,1052A,6.19,43,南区
44,1S-44,GUCCI,一楼,鞋品箱包,58,1053,1053,3.62,44,南区
45,1S-45,BLOVE,一楼,配饰珠宝,86,1055,1055,24.06,45,南区
46,1S-46,Leysen1855 莱绅通灵,一楼,配饰珠宝,134,1056,1056,30.09,46,北区
47,1S-47,必胜客(1楼),一楼,休闲快餐与饮品,95,1002-2055B,"1002,2055B",46.23,47,北区
48,2S-3,HopeShow,二楼,女装,99,2001,2001,4.76,48,北区
49,2S-4,OSANI,二楼,女装,33,2002,2002,7.04,49,北区
50,2S-5,SEDATE,二楼,女装,34,2003,2003,11.35,50,南区
51,2S-6,念奴娇,二楼,女装,94,2005,2005,6.85,51,北区
52,2S-7,飞鸟和新酒,二楼,女装,79,2006,2006,4.58,52,北区
53,2S-8,优贝施,二楼,美妆护肤,150,2007,2007,4.74,53,北区
54,2S-9,FIVE PLUS,二楼,女装,16,2008,2008,2.98,54,北区
55,2S-10,S.DEER,二楼,女装,78,2009,2009,6.2,55,南区
56,2S-10,S.DEER,二楼,女装,78,2009,2009,6.2,56,北区
57,2S-11,LESS,二楼,女装,109,2010,2010,3.53,57,北区
58,2S-11,LESS,二楼,女装,109,2010,2010,3.53,58,南区
59,2S-12,Donoratico,二楼,女装,32,2011,2011,4.67,59,南区
60,2S-13,Rebecca,二楼,配饰珠宝,139,2012,2012,7.6,60,北区
61,2S-14,GILLIVO,二楼,鞋品箱包,38,2013,2013,3.19,61,南区
62,2S-15,播,二楼,女装,31,2015,2015,3.23,62,北区
63,2S-16,JNBY,二楼,女装,82,2016,2016,5.34,63,北区
64,2S-17,CRZ,二楼,女装,26,2017A,2017A,4.35,64,北区
65,2S-18,LeeMonsan,二楼,女装,15,2017B,2017B,4.49,65,北区
66,2S-19,爱美丽生活馆,二楼,家居家用,27,2018,2018,4.06,66,北区
67,2S-20,LINCchic,二楼,女装,25,2019A,2019A,5.11,67,北区
68,2S-21,miidii,二楼,女装,30,2019B,2019B,3.72,68,北区
69,2S-22,范可儿,二楼,女装,28,2020,2020,5.98,69,北区
70,2S-23,ONE MORE,二楼,女装,49,2021A,2021A,5.2,70,南区
71,2S-24,LNO,二楼,配饰珠宝,106,2021B,2021B,6.74,71,北区
72,2S-24,LNO,二楼,配饰珠宝,106,2021B,2021B,6.74,72,北区
73,2S-25,Mini Peace,二楼,亲子,102,2022A,2022A,10.52,73,北区
74,2S-26,gxg.kids,二楼,亲子,113,2022B,2022B,6.95,74,北区
75,2S-27,jnby by JNBY,二楼,亲子,114,2023,2023,7.59,75,南区
76,2S-27,jnby by JNBY,二楼,亲子,114,2023,2023,7.59,76,南区
77,2S-28,Little MO&CO.,二楼,亲子,166,2025A,2025A,0.98,77,南区
78,2S-29,Hello kitty,二楼,亲子,115,2025B,2025B,5.35,78,北区
79,2S-30,kids land,二楼,亲子,17,2056,2056,5.49,79,北区
80,2S-31,The Green Party,二楼,杂品集合,10,2057,2057,11.08,80,北区
81,2S-32,屈臣氏,二楼,美妆护肤,39,2058,2058,9.5,81,南区
82,2S-33,KFC,二楼,休闲快餐与饮品,92,2026,2026,28.19,82,北区
83,2S-34,万达宝贝王,二楼,亲子,61,娱乐楼2FA,娱乐楼2FA,30.88,83,北区
84,2S-35,指。秀美甲,二楼,美妆护肤,158,2027,2027,35.32,84,南区
85,2S-36,Ooh Dear,二楼,配饰珠宝,120,2028A,2028A,14.91,85,北区
86,2S-37,萱子,二楼,配饰珠宝,107,2028B,2028B,4.64,86,南区
87,2S-37,萱子,二楼,配饰珠宝,107,2028B,2028B,4.64,87,南区
88,2S-38,阪织屋,二楼,家居家用,29,2029A,2029A,4.85,88,南区
89,2S-39,Jingcl,二楼,配饰珠宝,81,2029B,2029B,16.81,89,北区
90,2S-40,O‘fir,二楼,配饰珠宝,132,2030A,2030A,11.32,90,北区
91,2S-41,AOJO,二楼,配饰珠宝,50,2030B,2030B,11.29,91,北区
92,2S-41,AOJO,二楼,配饰珠宝,50,2030B,2030B,11.29,92,北区
93,2S-42,LILY,二楼,女装,40,2031,2031,5.16,93,南区
94,2S-43,Peace bird(F),二楼,女装,75,2032A,2032A,6.7,94,北区
95,2S-44,林清轩,二楼,美妆护肤,159,2032B,2032B,22.07,95,南区
96,2S-45,TUTUANNA,二楼,家居家用,97,2033,2033,3.2,96,南区
97,2S-45,TUTUANNA,二楼,家居家用,97,2033,2033,3.2,97,南区
98,2S-46,宝岛眼镜,二楼,配饰珠宝,126,2035,2035,6.94,98,南区
99,2S-47,LALABOBO,二楼,女装,119,2036,2036,9.05,99,北区
100,2S-47,LALABOBO,二楼,女装,119,2036,2036,9.05,100,北区
101,2S-47,LALABOBO,二楼,女装,119,2036,2036,9.05,101,南区
102,2S-47,LALABOBO,二楼,女装,119,2036,2036,9.05,102,北区
103,2S-48,美宝莲,二楼,美妆护肤,98,2037,2037,7.28,103,南区
104,2S-49,AFU,二楼,美妆护肤,160,2038,2038,17.24,104,南区
105,2S-50,麦檬,二楼,女装,76,2039,2039,5.16,105,北区
106,2S-51,Naivee,二楼,女装,77,2050,2050,3.32,106,北区
107,2S-51,Naivee,二楼,女装,77,2050,2050,3.32,107,南区
108,2S-54,必胜客(2楼),二楼,休闲快餐与饮品,137,2055B-1002,"2055B,1002",31.9,108,南区
109,3S-3,韩潮品象,三楼,美妆护肤,100,3001A-3001B,"3001A,3001B",80.53,109,北区
110,3S-4,酷乐潮玩,三楼,杂品集合,12,3002,3002,10.64,110,北区
111,3S-5,优禾生活,三楼,杂品集合,67,3003,3003,5.49,111,北区
112,3S-6,品真阁,三楼,配饰珠宝,66,3005-3006,"30,053,006",5.64,112,南区
113,3S-7,Smile Froyo,三楼,休闲快餐与饮品,152,3007,3007,13.2,113,北区
114,3S-8,NORTH LATITUDE 30,三楼,男装,68,3008,3008,6.59,114,北区
115,3S-9,Mark fairwhale JEANS,三楼,男装,74,3009,3009,8.27,115,北区
116,3S-9,Mark fairwhale JEANS,三楼,男装,74,3009,3009,8.27,116,南区
117,3S-10,dealuna,三楼,男装,65,3010,3010,10.97,117,北区
118,3S-11,海澜之家,三楼,男装,36,3011-3012,"30,113,012",9.92,118,北区
119,3S-12,New Era,三楼,配饰珠宝,162,3013,3013,97.4,119,南区
120,3S-13,LEE,三楼,潮流时尚,156,3015,3015,6.34,120,南区
121,3S-13,LEE,三楼,潮流时尚,156,3015,3015,6.34,121,北区
122,3S-14,peace bird(M),三楼,男装,138,3016,3016,10.06,122,南区
123,3S-15,CROQUIS,三楼,男装,2,3017,3017,4.96,123,北区
124,3S-16,Cabbeen Urban,三楼,男装,71,3018,3018,8.92,124,北区
125,3S-17,SELECTED,三楼,男装,4,3019,3019,8.09,125,北区
126,3S-18,PANCOAT,三楼,潮流时尚,47,3020,3020,5.3,126,南区
127,3S-18,PANCOAT,三楼,潮流时尚,47,3020,3020,5.3,127,北区
128,3S-19,BOYLONDON,三楼,潮流时尚,5,3021,3021,4.7,128,北区
129,3S-20,智蜂巢,三楼,家居家用,64,3022,3022,5.74,129,北区
130,3S-21,NBA,三楼,运动休闲,51,3023,3023,6.11,130,北区
131,3S-22,素拼,三楼,男装,41,3025,3025,11.0,131,南区
132,3S-23,vans,三楼,鞋品箱包,52,3026,3026,5.69,132,南区
133,3S-24,小鲸的匹萨,三楼,休闲快餐与饮品,53,3027,3027,31.66,133,北区
134,3S-25,热风,三楼,潮流时尚,21,3028,3028,7.87,134,南区
135,3S-26,Apple,三楼,数码电子,83,3029,3029,12.52,135,北区
136,3S-26,Apple,三楼,数码电子,83,3029,3029,12.52,136,南区
137,3S-27,华为,三楼,数码电子,1,3030A,3030A,6.15,137,南区
138,3S-28,阿吉豆,三楼,配饰珠宝,56,3030B,3030B,8.23,138,北区
139,3S-29,Vaper 77,三楼,杂品集合,54,3031,3031,5.69,139,北区
140,3S-30,乐友,三楼,亲子,62,3032-3033,"30,323,033",6.34,140,南区
141,3S-31,名创优品,三楼,杂品集合,18,3035,3035,10.31,141,北区
142,3S-32,雪乐山,三楼,体验业态,89,3036,3036,9.41,142,南区
143,3S-34,大玩家,三楼,体验业态,19,娱乐楼3FA,娱乐楼3FA,22.45,143,南区
144,3S-35,启路文具,三楼,杂品集合,20,3038A,3038A,10.63,144,南区
145,3S-36,盛世雅歌琴行,三楼,体验业态,87,3038B,3038B,7.26,145,南区
146,3S-37,Onitsuka Tiger,三楼,鞋品箱包,84,3039A,3039A,6.97,146,南区
147,3S-37,Onitsuka Tiger,三楼,鞋品箱包,84,3039A,3039A,6.97,147,南区
148,3S-38,THE SHOES BAR,三楼,鞋品箱包,55,3039B,3039B,4.27,148,南区
149,3S-38,THE SHOES BAR,三楼,鞋品箱包,55,3039B,3039B,4.27,149,南区
150,3S-39,LEVI'S,三楼,潮流时尚,42,3050,3050,5.77,150,北区
151,3S-39,LEVI'S,三楼,潮流时尚,42,3050,3050,5.77,151,南区
152,3S-40,MLMR,三楼,男装,11,3051,3051,4.19,152,北区
153,3S-41,JACK&JONES,三楼,潮流时尚,103,3052,3052,13.18,153,北区
154,3S-42,J.D.V,三楼,男装,116,3053A,3053A,7.91,154,南区
155,3S-43,Degré Zéro,三楼,男装,104,3053B,3053B,17.46,155,南区
156,3S-44,EVERLAST,三楼,运动休闲,164,3055,3055,2.16,156,北区
157,3S-45,GXG,三楼,男装,70,3056,3056,4.9,157,北区
158,3S-46,七匹狼,三楼,男装,35,3057,3057,5.94,158,南区
159,3S-47,KING,三楼,男装,3,3058-3059,"30,583,059",4.65,159,南区
160,3S-48,罗宾汉,三楼,男装,108,3060,3060,7.06,160,南区
161,3S-49,ABLE JEANS,三楼,潮流时尚,43,3061,3061,8.84,161,南区
162,3S-50,索菲亚,三楼,家居家用,136,3062,3062,23.22,162,北区
163,3S-51,OSIM,三楼,运动休闲,165,3063A,3063A,16.81,163,南区
164,3S-52,Find智慧钢琴学院,三楼,体验业态,148,3063B,3063B,33.04,164,南区
165,3S-52,Find智慧钢琴学院,三楼,体验业态,148,3063B,3063B,33.04,165,南区
166,3S-53,尚品宅配,三楼,家居家用,147,3066,3066,34.28,166,北区
167,3S-54,佩霖国际自然养生会所,三楼,体验业态,146,3067,3067,45.3,167,南区
168,4S-3,金掌勺,四楼,餐饮美食,69,4001,4001,51.9,168,北区
169,4S-4,望湘园,四楼,餐饮美食,141,4002,4002,56.41,169,北区
170,4S-5,那时小馆,四楼,餐饮美食,124,4003A,4003A,76.35,170,南区
171,4S-6,MQ,四楼,女装,72,4003B,4003B,23.98,171,
172,4S-7,我家,四楼,餐饮美食,133,4005,4005,37.59,172,
173,4S-8,辣一天,四楼,餐饮美食,125,4006A,4006A,38.97,173,
174,4S-9,疯卷春饼,四楼,休闲快餐与饮品,60,4006B,4006B,31.0,174,
175,4S-10,DQ,四楼,休闲快餐与饮品,128,4007,4007,8.49,175,
176,4S-11,巴贝拉,四楼,休闲快餐与饮品,127,4008,4008,22.81,176,
177,4S-13,蓉李记,四楼,餐饮美食,91,4009B,4009B,33.61,177,
178,4S-14,汉拿山,四楼,餐饮美食,123,4010A-4010B,"4010A,4010B",51.14,178,
179,4S-15,天万,四楼,餐饮美食,121,4011-4012,"40,114,012",31.06,179,
180,4S-16,金の锅,四楼,餐饮美食,157,4013,4013,46.64,180,
181,4S-17,胡同串子,四楼,餐饮美食,168,4015A,4015A,,181,
182,4S-18,北李妈妈菜,四楼,餐饮美食,169,4016,4016,17.39,182,
183,4S-19,云海肴,四楼,餐饮美食,105,4017,4017,52.52,183,
184,4S-20,金吉鸟,四楼,体验业态,163,娱乐楼4FA,娱乐楼4FA,48.15,184,
185,4S-21,阿三生煎包,四楼,餐饮美食,131,4018,4018,29.67,185,
186,4S-22,穿巷,四楼,餐饮美食,155,4019B-4019C,"4019B,4019C",109.49,186,
187,4S-23,好面坊,四楼,餐饮美食,144,4019A,4019A,14.25,187,
188,4S-24,大娘水饺,四楼,休闲快餐与饮品,112,4020B,4020B,19.92,188,
189,4S-25,蜀江烤鱼,四楼,餐饮美食,154,4021A,4021A,67.85,189,
190,4S-26,许留山,四楼,休闲快餐与饮品,140,4022,4022,17.61,190,
191,4S-27,留下,四楼,餐饮美食,167,4025A,4025A,22.68,191,
192,4S-27,留下,四楼,餐饮美食,167,4025A,4025A,22.68,192,
193,4S-28,一品焖锅,四楼,餐饮美食,149,4025B,4025B,55.72,193,
194,4S-29,呱呱蛙,四楼,餐饮美食,170,4026A,4026A,,194,
195,4S-30,旺顺阁,四楼,餐饮美食,161,4026B,4026B,88.82,195,
196,4S-31,外婆家,四楼,餐饮美食,88,4027,4027,46.06,196,
